id,question_id,concept_id,batch,system,stem,options,correct_answer,explanation,cognitive_error,status
d45165a1-437c-44f6-ba28-b2830e5401d3,B1_C01,b1-01-diabetic-ketoacidosis-dka-initial-management,Batch1,Endocrinology,"A 28-year-old woman with type 1 diabetes mellitus presents to the emergency department with nausea, vomiting, and abdominal pain for 12 hours. She 
ran out of insulin 2 days ago. On examination, she is lethargic but arousable. Temperature is 37.1°C (98.8°F), blood pressure is 92/58 mm Hg, pulse is 
118/min, and respirations are 26/min with deep, labored breathing. Mucous membranes are dry, and skin turgor is decreased. 
Laboratory studies show: 
• 
Serum glucose: 486 mg/dL 
• 
Serum sodium: 131 mEq/L 
• 
Serum potassium: 5.4 mEq/L 
• 
Serum bicarbonate: 10 mEq/L 
• 
BUN: 38 mg/dL 
• 
Creatinine: 1.6 mg/dL 
• 
Arterial pH: 7.18 
• 
Serum ketones: positive

Which of the following is the most appropriate initial step in management?","[{""text"":""Intravenous regular insulin bolus followed by continuous infusion"",""label"":""A""},{""text"":""Intravenous normal saline bolus"",""label"":""B""},{""text"":""Intravenous sodium bicarbonate"",""label"":""C""},{""text"":""Subcutaneous rapid-acting insulin"",""label"":""D""},{""text"":""Intravenous potassium chloride"",""label"":""E""}]",B,"Pathophysiology: DKA results from absolute insulin deficiency causing hyperglycemia, lipolysis, and ketoacid production. Profound volume depletion (5-7L deficit) occurs via osmotic diuresis as glucose exceeds the renal threshold and pulls water into urine. Hypovolemia causes prerenal AKI, tissue hypoperfusion, and impaired insulin delivery. Volume resuscitation must precede insulin therapy because insulin drives potassium intracellularly, and hypokalemia in volume-depleted patients can cause fatal arrhythmias.

Distractor Analysis: (A) Regular insulin IV bolus first: Insulin before fluids risks severe hypokalemia as K+ shifts intracellularly; the initial K+ of 5.4 mEq/L will plummet without adequate volume and potassium repletion. (C) Sodium bicarbonate: Bicarbonate is only indicated for pH <6.9 or life-threatening hyperkalemia; it does not address the underlying pathophysiology and may worsen intracellular acidosis. (D) Potassium chloride first: Though total body K+ is depleted, serum K+ is 5.4 mEq/L due to transcellular shifts; potassium replacement begins after K+ falls below 5.3 mEq/L. (E) Subcutaneous insulin: Subcutaneous absorption is unreliable in hypovolemic patients with poor peripheral perfusion; IV insulin with continuous monitoring is required.

Clinical Pearl: In DKA, start IV normal saline (15-20 mL/kg/hr first hour) before insulin to restore perfusion and prevent precipitous hypokalemia.",,active
67768a3e-cb23-41ec-8fbf-252b5d50d55f,B1_C02,b1-02-thyroid-storm-recognition-and-immediate-treatment,Batch1,Endocrinology,"A 42-year-old woman is brought to the emergency department by her family for confusion and agitation. She has a history of Graves disease but 
stopped taking her methimazole 3 weeks ago. Yesterday she developed fever, diarrhea, and palpitations. Today she became disoriented and combative. 
On examination, temperature is 39.8°C (103.6°F), blood pressure is 168/70 mm Hg, pulse is 152/min and irregularly irregular, and respirations are 24/min. 
She is diaphoretic with a fine tremor, lid lag, and diffuse thyroid enlargement. 
Laboratory studies show: 
• 
TSH: <0.01 mIU/L 
• 
Free T4: 6.8 ng/dL (normal 0.8–1.8) 
• 
Free T3: 892 pg/dL (normal 230–420) 
ECG shows atrial fibrillation with rapid ventricular response.

In addition to supportive care and cooling measures, which of the following is the most appropriate FIRST pharmacologic intervention?","[{""text"":""Propylthiouracil"",""label"":""A""},{""text"":""Propranolol"",""label"":""B""},{""text"":""Lugol iodine solution"",""label"":""C""},{""text"":""Hydrocortisone"",""label"":""D""},{""text"":""Radioactive iodine ablation"",""label"":""E""}]",B,"Pathophysiology: Thyroid storm represents extreme thyrotoxicosis with mortality approaching 20-30%, primarily from cardiovascular collapse. The hyperthyroid state increases beta-adrenergic receptor sensitivity, causing tachyarrhythmias, high-output heart failure, and widened pulse pressure. Beta-blockers are first-line because they immediately control the life-threatening cardiac manifestations while other treatments (thionamides, iodine) take hours to days to reduce thyroid hormone synthesis and release.

Distractor Analysis: (A) Methimazole first: Thionamides block new hormone synthesis but do not affect already-circulating T3/T4; they take weeks for full effect and do not address acute cardiovascular crisis. (C) Potassium iodide first: Iodide blocks hormone release (Wolff-Chaikoff effect) but should be given 1 hour AFTER thionamides to prevent iodide from serving as substrate for more hormone synthesis. (D) Dexamethasone first: Glucocorticoids block peripheral T4-to-T3 conversion and treat possible relative adrenal insufficiency, but do not address immediate cardiac decompensation. (E) Emergent thyroidectomy: Surgery in an uncontrolled thyrotoxic patient carries prohibitive risk of thyroid storm crisis and cardiac arrest; medical stabilization is essential first.

Clinical Pearl: In thyroid storm, administer propranolol first to control heart rate and prevent cardiovascular collapse, followed by thionamide, then iodine (1 hour later), and glucocorticoids.",,active
90664b41-2193-489d-bbd2-6075fe244d9d,B1_C03,b1-03-primary-adrenal-insufficiency-addison-disease-diagnosis,Batch1,Endocrinology,"A 34-year-old woman comes to the clinic with a 4-month history of progressive fatigue, 7-kg (15-lb) unintentional weight loss, and intermittent nausea. 
She also reports light-headedness when standing. She has no significant medical history and takes no medications. 

On examination, blood pressure is 94/62 mm Hg supine and 78/50 mm Hg standing with pulse increasing from 72 to 98/min. Hyperpigmentation is 
noted on the palmar creases, buccal mucosa, and a recent surgical scar. 
Laboratory studies show: 
• 
Serum sodium: 128 mEq/L 
• 
Serum potassium: 5.8 mEq/L 
• 
Fasting glucose: 64 mg/dL 
• 
Morning cortisol: 2.1 µg/dL (normal 5–25) 
• 
ACTH: 892 pg/mL (normal 10–60)

Which of the following is the most appropriate next step to confirm the diagnosis?","[{""text"":""24-hour urine free cortisol"",""label"":""A""},{""text"":""Low-dose dexamethasone suppression test"",""label"":""B""},{""text"":""Cosyntropin stimulation test"",""label"":""C""},{""text"":""CT of the adrenal glands"",""label"":""D""},{""text"":""Adrenal vein sampling"",""label"":""E""}]",C,"Pathophysiology: Primary adrenal insufficiency (Addison disease) results from destruction of the adrenal cortex (autoimmune, infectious, or hemorrhagic), causing deficiency of both cortisol and aldosterone. Hypotension with orthostasis reflects mineralocorticoid deficiency (sodium wasting and volume depletion). Hyperpigmentation occurs because loss of cortisol feedback increases ACTH secretion, and ACTH shares a precursor (POMC) with melanocyte-stimulating hormone. The classic electrolyte pattern is hyponatremia with hyperkalemia (aldosterone normally promotes Na+ retention and K+ excretion).

Distractor Analysis: (A) Serum TSH: Hypothyroidism can cause fatigue and hyponatremia but does not explain hyperkalemia, hypotension, or hyperpigmentation. (B) 24-hour urine cortisol: This test evaluates Cushing syndrome (cortisol excess), not deficiency. (D) Plasma renin activity alone: Elevated renin is expected in Addison disease but is not diagnostic; the ACTH stimulation test directly assesses adrenal reserve. (E) Adrenal CT: Imaging may reveal adrenal pathology but does not establish the diagnosis of adrenal insufficiency; functional testing is required first.

Clinical Pearl: Primary adrenal insufficiency presents with hypotension, hyperpigmentation, hyponatremia, and hyperkalemia; confirm with cosyntropin (ACTH) stimulation test showing inadequate cortisol response.",,active
b2c71d08-b58a-471e-b466-5b48dfbde335,B1_C04,b1-04-hyperosmolar-hyperglycemic-state-hhs-vs-dka-differentiation-,Batch1,Endocrinology,"A 72-year-old man with type 2 diabetes mellitus is brought to the emergency department from a nursing home with altered mental status. Staff report 
he has had decreased oral intake and increasing lethargy over the past week following a urinary tract infection treated with antibiotics. 
On examination, he is obtunded and responds only to painful stimuli. Temperature is 37.4°C (99.3°F), blood pressure is 88/52 mm Hg, pulse is 112/min, 
and respirations are 18/min. Mucous membranes are severely dry, and skin tenting is present. 
Laboratory studies show: 
• 
Serum glucose: 928 mg/dL 
• 
Serum sodium: 149 mEq/L (corrected: 162 mEq/L) 
• 
Serum potassium: 4.8 mEq/L 
• 
Serum bicarbonate: 21 mEq/L 
• 
BUN: 68 mg/dL 
• 
Creatinine: 2.4 mg/dL 
• 
Arterial pH: 7.32 
• 
Serum osmolality: 384 mOsm/kg 
• 
Serum ketones: trace 
• 
Urine: positive for bacteria and WBCs

Which of the following is the most appropriate initial treatment?","[{""text"":""Intravenous regular insulin bolus"",""label"":""A""},{""text"":""Intravenous 0.45% saline at 250 mL/hr"",""label"":""B""},{""text"":""Intravenous 0.9% saline at 1 L/hr"",""label"":""C""},{""text"":""Intravenous 5% dextrose with 0.45% saline"",""label"":""D""},{""text"":""Subcutaneous long-acting insulin"",""label"":""E""}]",C,"Pathophysiology:
Hyperosmolar Hyperglycemic State (HHS) is characterized by severe hyperglycemia (>600 mg/dL), hyperosmolality (>320 mOsm/kg), and minimal ketosis. Unlike DKA, patients retain enough insulin to prevent lipolysis but not enough to control glucose. The profound dehydration (average 8-10 L deficit) results from osmotic diuresis. Initial management prioritizes aggressive isotonic fluid resuscitation to restore intravascular volume and tissue perfusion before addressing hyperglycemia.

Distractor Analysis:

(A) IV regular insulin bolus: Incorrect. Fluid resuscitation alone significantly lowers glucose in HHS. Insulin is started later at lower doses (0.025-0.05 units/kg/hr) to prevent cerebral edema from rapid osmotic shifts.
(B) IV 0.45% saline at 250 mL/hr: Incorrect. Hypotonic saline is inappropriate in hypotensive patients. Isotonic fluid is required first to restore perfusion; 0.45% saline may be used later based on corrected sodium.
(D) D5 with 0.45% saline: Incorrect. Dextrose-containing fluids are added when glucose reaches 250-300 mg/dL, not with initial glucose of 928 mg/dL.
(E) Subcutaneous long-acting insulin: Incorrect. Critically ill patients require IV insulin for precise titration; subcutaneous absorption is unpredictable in hypovolemia.

Clinical Pearl: HHS mortality (10-20%) exceeds DKA (1-5%) primarily due to delayed recognition, older patient population, and thromboembolic complications. Aggressive early fluid resuscitation is the cornerstone of management.",,active
358c0ce8-11df-4d0e-a41e-49f1807ec7a0,B1_C05,b1-05-pheochromocytoma-preoperative-management,Batch1,Endocrinology,"A 38-year-old woman is evaluated for episodes of severe headache, palpitations, and diaphoresis occurring several times per week for the past 3 months. 
During these episodes, she feels intense anxiety and her face becomes flushed. Her blood pressure between episodes is 142/92 mm Hg. Family history is 
notable for a brother who had thyroid cancer. 

Evaluation reveals elevated 24-hour urine catecholamines and metanephrines. CT of the abdomen shows a 4.2-cm right adrenal mass with high 
attenuation.

Surgical resection is planned. Which of the following is the most appropriate preoperative management?","[{""text"":""Initiate propranolol followed by phenoxybenzamine"",""label"":""A""},{""text"":""Initiate phenoxybenzamine followed by propranolol"",""label"":""B""},{""text"":""Initiate propranolol alone"",""label"":""C""},{""text"":""Initiate labetalol alone"",""label"":""D""},{""text"":""Proceed directly to surgery without pharmacologic preparation"",""label"":""E""}]",B,"Pathophysiology:
Pheochromocytoma causes episodic catecholamine release producing the classic triad of headache, palpitations, and diaphoresis. Preoperative alpha-blockade with phenoxybenzamine (irreversible alpha-1 antagonist) is mandatory to prevent intraoperative hypertensive crisis during tumor manipulation. Alpha-blockade also allows intravascular volume expansion, as chronic catecholamine excess causes vasoconstriction and relative hypovolemia. Beta-blockade is added 2-3 days later to control reflex tachycardia.

Distractor Analysis:

(A) Propranolol followed by phenoxybenzamine: Incorrect. Beta-blockade before alpha-blockade causes unopposed alpha-adrenergic stimulation, leading to severe hypertensive crisis.
(C) Propranolol alone: Incorrect. Same dangerous mechanism—allows unopposed alpha vasoconstriction without adequate blood pressure control.
(D) Labetalol alone: Incorrect. Although labetalol has both alpha and beta effects, its beta effects predominate and do not provide reliable alpha-blockade for pheochromocytoma.
(E) Proceed directly to surgery: Incorrect. Historical mortality from unblocked pheochromocytoma surgery was extremely high due to intraoperative hypertensive crisis and cardiovascular collapse.

Clinical Pearl: ""Alpha before beta""—always establish alpha-blockade 10-14 days before surgery, then add beta-blockade. The family history of thyroid cancer suggests MEN2 syndrome (medullary thyroid cancer + pheochromocytoma).",,active
cd84af41-19c9-4a60-939b-1e02e9a9f915,B1_C06,b1-06-myxedema-coma-emergency-recognition-and-treatment,Batch1,Endocrinology,"A 68-year-old woman is brought to the emergency department by her daughter who found her minimally responsive at home. The daughter reports her 
mother has seemed increasingly confused and lethargic over the past 2 weeks. The patient has a history of hypothyroidism but has not been taking her 
levothyroxine for ""several months."" 
On examination, the patient is obtunded. Temperature is 34.2°C (93.6°F), blood pressure is 88/58 mm Hg, pulse is 48/min, and respirations are 8/min. She 
has periorbital edema, macroglossia, dry coarse skin, and delayed relaxation of deep tendon reflexes. 
Laboratory studies show: 
• 
TSH: 89 mIU/L (normal 0.5–4.5) 
• 
Free T4: <0.2 ng/dL (normal 0.8–1.8) 
• 
Serum sodium: 118 mEq/L 
• 
Serum glucose: 52 mg/dL 
• 
Serum cortisol: 8 µg/dL 
In addition to supportive care including warming and airway management, which of the following is the most appropriate pharmacologic

treatment?","[{""text"":""Oral levothyroxine"",""label"":""A""},{""text"":""Intravenous levothyroxine alone"",""label"":""B""},{""text"":""Intravenous levothyroxine plus intravenous hydrocortisone"",""label"":""C""},{""text"":""Intravenous liothyronine (T3) alone"",""label"":""D""},{""text"":""Radioactive iodine"",""label"":""E""}]",C,"Pathophysiology:
Myxedema coma represents decompensated severe hypothyroidism with altered mental status, hypothermia, bradycardia, hypotension, and hypoventilation. Treatment requires both IV thyroid hormone (oral absorption is unreliable in critically ill patients) AND glucocorticoids. Severe hypothyroidism impairs adrenal function, and thyroid hormone replacement accelerates cortisol metabolism—initiating levothyroxine without glucocorticoids can precipitate adrenal crisis.

Distractor Analysis:

(A) Oral levothyroxine: Incorrect. Oral administration is inappropriate in obtunded patients with GI hypomotility; absorption is unreliable.
(B) IV levothyroxine alone: Incorrect. Missing crucial glucocorticoid coverage risks precipitating adrenal crisis when thyroid hormone accelerates cortisol metabolism.
(D) IV liothyronine (T3) alone: Incorrect. T3 alone provides no sustained hormone levels. T3 may be added as adjunct therapy but not as sole treatment.
(E) Radioactive iodine: Incorrect. RAI is used for hyperthyroidism, not hypothyroidism.

Clinical Pearl: Always give IV hydrocortisone (100 mg bolus, then 50-100 mg q8h) WITH IV levothyroxine in myxedema coma. Mortality remains 30-60% even with treatment, emphasizing the emergency nature.",,active
9315023e-a64f-4024-acee-235e11dedfc9,B1_C07,b1-07-siadh-vs-cerebral-salt-wasting-volume-status-differentiation,Batch1,"Endocrinology, Nephrology","A 52-year-old man is hospitalized following surgical clipping of a ruptured intracranial aneurysm 5 days ago. He initially did well postoperatively but now 
has mild confusion. 
Vital signs show blood pressure 108/68 mm Hg (baseline 132/84), pulse 98/min, and temperature 37.0°C. Physical examination reveals dry mucous 
membranes and flat neck veins. Skin turgor is mildly decreased. 

Laboratory studies show: 
• 
Serum sodium: 124 mEq/L 
• 
Serum osmolality: 258 mOsm/kg 
• 
Urine sodium: 85 mEq/L 
• 
Urine osmolality: 420 mOsm/kg 
• 
BUN: 28 mg/dL 
• 
Creatinine: 1.1 mg/dL 
• 
Uric acid: 2.1 mg/dL

Which of the following is the most appropriate treatment?","[{""text"":""Fluid restriction to 1 L/day"",""label"":""A""},{""text"":""Intravenous 0.9% normal saline"",""label"":""B""},{""text"":""Demeclocycline"",""label"":""C""},{""text"":""Oral salt tablets with fluid restriction"",""label"":""D""},{""text"":""Conivaptan"",""label"":""E""}]",B,"Pathophysiology:
Both SIADH and cerebral salt wasting (CSW) cause hyponatremia with concentrated urine and elevated urine sodium. The critical differentiator is volume status: SIADH is euvolemic (excess free water), while CSW is hypovolemic (renal sodium wasting). This patient's decreased BP from baseline, tachycardia, dry mucous membranes, flat neck veins, and elevated BUN indicate hypovolemia consistent with CSW. Treatment requires isotonic saline to replace sodium and water losses.

Distractor Analysis:

(A) Fluid restriction: Incorrect. Appropriate for SIADH but dangerous in CSW—would worsen volume depletion and potentially cause shock.
(C) Demeclocycline: Incorrect. Used for chronic SIADH, not for hypovolemic CSW.
(D) Oral salt tablets with fluid restriction: Incorrect. Fluid restriction contraindicated in hypovolemia; salt tablets alone insufficient for acute management.
(E) Conivaptan: Incorrect. Vaptans cause aquaresis (free water loss), which would be harmful in an already volume-depleted patient.

Clinical Pearl: Post-neurosurgical hyponatremia requires careful volume assessment—getting this wrong can be fatal. Fluid restriction in CSW worsens dehydration; fluids in SIADH worsen hyponatremia.",,active
0217bd7f-d1c7-4bbc-8120-ec94bb0d3496,B1_C08,b1-08-subclinical-hypothyroidism-treatment-decision,Batch1,Endocrinology,"A 58-year-old woman comes to the clinic for routine follow-up. She feels well and has no specific complaints. She has a history of hypertension 
controlled with lisinopril. She denies fatigue, constipation, cold intolerance, or weight changes. 
Physical examination shows blood pressure 128/78 mm Hg, pulse 72/min, and BMI 26 kg/m². Thyroid is normal in size without nodules. Deep tendon 
reflexes are normal. 
Screening laboratory studies show: 
• 
TSH: 8.2 mIU/L (normal 0.5–4.5) 
• 
Free T4: 1.1 ng/dL (normal 0.8–1.8) 
Repeat testing 6 weeks later confirms: 
• 
TSH: 7.8 mIU/L 
• 
Free T4: 1.0 ng/dL 
• 
Anti-TPO antibodies: positive

Which of the following is the most appropriate management?","[{""text"":""Initiate levothyroxine"",""label"":""A""},{""text"":""Observation with repeat TSH in 6–12 months"",""label"":""B""},{""text"":""Radioactive iodine uptake scan"",""label"":""C""},{""text"":""Thyroid ultrasound"",""label"":""D""},{""text"":""Trial of liothyronine (T3)"",""label"":""E""}]",A,"Pathophysiology:
Subclinical hypothyroidism is defined as elevated TSH with normal free T4. Treatment decisions depend on TSH level, presence of symptoms, TPO antibody status, age, and cardiovascular risk. This patient has persistent TSH elevation (~8 mIU/L), positive TPO antibodies (indicating autoimmune thyroiditis with ~4.3% annual progression rate), age <65, and cardiovascular risk factors—all favoring treatment initiation.

Distractor Analysis:

(B) Observation with repeat TSH in 6-12 months: Incorrect. Would be appropriate if TSH were only mildly elevated (5-7) without TPO antibodies or risk factors. Positive antibodies change the calculation.
(C) Radioactive iodine uptake scan: Incorrect. RAI uptake scan is for hyperthyroidism workup, not hypothyroidism.
(D) Thyroid ultrasound: Incorrect. Indicated if nodule suspected; not needed for straightforward subclinical hypothyroidism without palpable abnormality.
(E) Trial of liothyronine (T3): Incorrect. T3 monotherapy is not standard treatment; levothyroxine (T4) is the standard of care.

Clinical Pearl: Positive TPO antibodies in subclinical hypothyroidism predict progression to overt disease. Treatment is generally indicated when TSH >10 OR when TSH 5-10 with symptoms, antibodies, goiter, pregnancy, or cardiovascular risk factors.",,active
3d2b4f5d-207f-45dc-8778-534ba1388599,B1_C09,b1-09-acute-coronary-syndrome-stemi-door-to-balloon-time,Batch1,Cardiology,"A 62-year-old man presents to a rural emergency department with 45 minutes of severe substernal chest pressure radiating to his left arm, associated 
with diaphoresis and nausea. He has a history of hypertension and smoking. 
On examination, he appears anxious and diaphoretic. Blood pressure is 148/92 mm Hg, pulse is 96/min, respirations are 20/min. Lungs are clear, and 
there is no jugular venous distension. 
ECG shows 4-mm ST-segment elevation in leads V1–V4 with reciprocal ST depression in leads II, III, and aVF. 
The nearest PCI-capable facility is 95 minutes away by ambulance. The current facility does not have cardiac catheterization capabilities.

Which of the following is the most appropriate immediate management?","[{""text"":""Administer fibrinolytic therapy now"",""label"":""A""},{""text"":""Transfer immediately for primary PCI"",""label"":""B""},{""text"":""Administer aspirin and heparin only, then transfer"",""label"":""C""},{""text"":""Obtain serial troponins before deciding on treatment"",""label"":""D""},{""text"":""Perform stress testing before intervention"",""label"":""E""}]",A,"Pathophysiology:
Anterior STEMI requires immediate reperfusion—""time is myocardium."" Primary PCI is preferred when door-to-balloon time is <90 minutes (same hospital) or <120 minutes (including transfer). When transfer time exceeds this window, fibrinolysis should be administered within 30 minutes of arrival (""door-to-needle""). This patient's transfer time alone is 95 minutes; total door-to-balloon time would exceed 120 minutes, making fibrinolysis the appropriate choice.

Distractor Analysis:

(B) Transfer immediately for primary PCI: Incorrect. Would exceed the 120-minute window, delaying reperfusion and increasing infarct size and mortality.
(C) Aspirin and heparin only, then transfer: Incorrect. Incomplete therapy—aspirin and heparin alone do not provide reperfusion.
(D) Obtain serial troponins before deciding: Incorrect. STEMI is a clinical and ECG diagnosis. Troponins take time and should never delay reperfusion.
(E) Perform stress testing: Incorrect. Stress testing is contraindicated in acute MI.

Clinical Pearl: Key time targets—door-to-needle ≤30 minutes for fibrinolysis; door-to-balloon ≤90 minutes (same hospital) or ≤120 minutes (transfer) for PCI. When PCI cannot be achieved within 120 minutes, fibrinolysis saves lives.",,active
5c668930-5de7-42ab-a5c0-9b3c923b4cc8,B1_C10,b1-10-heart-failure-with-reduced-ejection-fraction-mortality-reduc,Batch1,Cardiology,"A 64-year-old man with ischemic cardiomyopathy returns for follow-up. His last echocardiogram showed left ventricular ejection fraction of 30%. He 
reports New York Heart Association class II symptoms — dyspnea with moderate exertion but comfortable at rest. 
Current medications: 
• 
Lisinopril 20 mg daily 
• 
Carvedilol 25 mg twice daily 
• 
Furosemide 40 mg daily 
• 
Atorvastatin 40 mg daily 
Vital signs: blood pressure 118/72 mm Hg, pulse 64/min. Physical examination shows no peripheral edema, jugular venous pressure is normal, and lungs 
are clear. 
Laboratory studies: 

• 
Serum potassium: 4.2 mEq/L 
• 
Serum creatinine: 1.1 mg/dL 
• 
eGFR: 72 mL/min/1.73m²

Which of the following additional medications would provide a mortality benefit?","[{""text"":""Digoxin"",""label"":""A""},{""text"":""Hydralazine"",""label"":""B""},{""text"":""Spironolactone"",""label"":""C""},{""text"":""Amlodipine"",""label"":""D""},{""text"":""Isosorbide dinitrate"",""label"":""E""}]",C,"Pathophysiology:
The ""four pillars"" of mortality-reducing therapy in HFrEF are: ACE-I/ARB/ARNI, beta-blocker, mineralocorticoid receptor antagonist (MRA), and SGLT2 inhibitor. This patient is on ACE-I (lisinopril) and beta-blocker (carvedilol) but missing an MRA. The RALES trial demonstrated 30% mortality reduction with spironolactone in HFrEF patients with NYHA II-IV symptoms.

Distractor Analysis:

(A) Digoxin: Incorrect. Reduces hospitalizations but does NOT reduce mortality. Used for symptom control or rate control in atrial fibrillation.
(B) Hydralazine: Incorrect. Hydralazine-ISDN combination provides mortality benefit specifically in African American patients, not as first-line for all patients.
(D) Amlodipine: Incorrect. Safe in HF (unlike other calcium channel blockers) but does NOT reduce mortality. Used only for additional BP or angina control.
(E) Isosorbide dinitrate: Incorrect. Same as hydralazine—combination with hydralazine benefits African Americans; not indicated alone.

Clinical Pearl: Before starting spironolactone, verify K+ <5.0 mEq/L and eGFR >30 mL/min. Next optimization steps include switching ACE-I to ARNI (sacubitril-valsartan) and adding an SGLT2 inhibitor.",,active
